Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/embeddings/word_embeddings/Gather,Gather,0,0.00%,367291392,66.64%,91812096,68.34%,119547x768,1x14x768
/embeddings/Add,Add,21504,0.00%,86016,0.02%,10752,0.01%,1x14x768,1x14x768
/embeddings/LayerNorm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.0/attention/q_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.0/attention/q_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.0/attention/Reshape,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.0/attention/Transpose,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.0/attention/k_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.0/attention/k_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.0/attention/Reshape_1,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.0/attention/v_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.0/attention/v_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.0/attention/Reshape_2,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.0/attention/Transpose_1,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.0/attention/Div,Div,86016,0.01%,43008,0.01%,0,0.00%,1x12x14x64,1x12x14x64
