Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/Unsqueeze,Unsqueeze,0,0.00%,120,0.00%,1,0.00%,1x14,1x1x14
/Unsqueeze_1,Unsqueeze,0,0.00%,120,0.00%,1,0.00%,1x1x14,1x1x1x14
/Cast,Cast,0,0.00%,56,0.00%,0,0.00%,1x1x1x14,1x1x1x14
/Sub,Sub,14,0.00%,56,0.00%,0,0.00%,0,1x1x1x14
/Mul,Mul,14,0.00%,56,0.00%,0,0.00%,1x1x1x14,1x1x1x14
/embeddings/word_embeddings/Gather,Gather,0,0.00%,384078336,79.42%,96014208,81.74%,250037x384,1x14x384
/embeddings/token_type_embeddings/Gather,Gather,0,0.00%,24576,0.01%,768,0.00%,2x384,1x14x384
/embeddings/Add,Add,5376,0.00%,21504,0.00%,0,0.00%,1x14x384,1x14x384
/embeddings/Add_1,Add,5376,0.00%,43008,0.01%,5376,0.00%,1x14x384,1x14x384
/embeddings/LayerNorm/LayerNormalization,LayerNormalization,38038,0.01%,24576,0.01%,768,0.00%,1x14x384,1x14x384
/encoder/layer.0/attention/self/query/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.0/attention/self/query/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.0/attention/self/key/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.0/attention/self/key/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.0/attention/self/Reshape,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.0/attention/self/value/MatMul,MatMul,2064384,0.68%,611328,0.13%,147456,0.13%,1x14x384,1x14x384
/encoder/layer.0/attention/self/value/Add,Add,5376,0.00%,23040,0.00%,384,0.00%,384,1x14x384
/encoder/layer.0/attention/self/Reshape_1,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.0/attention/self/Transpose,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x14x32
/encoder/layer.0/attention/self/Reshape_2,Reshape,0,0.00%,21536,0.00%,4,0.00%,1x14x384,1x14x12x32
/encoder/layer.0/attention/self/Transpose_1,Transpose,0,0.00%,21504,0.00%,0,0.00%,1x14x12x32,1x12x14x32
